obs_date,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in
1/1/2013,39.5,41,31.1,13.3,0
1/2/2013,28.8,41,23,12.5,0
1/3/2013,29.7,34,24.1,9.6,0
1/4/2013,35.1,39,26.1,13.2,0
1/5/2013,37.6,43,33.1,10.6,0
1/6/2013,39.5,46.9,34,6.7,0
1/7/2013,42.4,46.9,34,9.8,0
1/8/2013,41.3,48.9,37,6.9,0
1/9/2013,43.6,51.1,36,4.7,0
1/10/2013,46,51.1,36,13.1,0
1/11/2013,40.1,48,37,6.2,0
1/12/2013,44,46,37,6.3,0.54
1/13/2013,44.1,48,42.1,4.7,0.05
1/14/2013,50.4,55,42.1,5.9,0.01
1/15/2013,39.4,55,36,7.4,0.13
1/16/2013,35.4,39.9,33.1,6.3,0.6
1/17/2013,40.3,44.1,33.1,8.9,0.1
1/18/2013,31.7,44.1,26.1,9.9,0
1/19/2013,37.5,52,28,11.2,0
1/20/2013,46.9,54,31.1,14.2,0
1/21/2013,31.5,54,28,9.1,0
1/22/2013,24.7,32,18,15.6,0
1/23/2013,16.1,28.9,12,14.0,0
1/24/2013,18.6,25,12,11.7,0
1/25/2013,18.6,25,14,10.2,0
1/26/2013,21.6,28.9,14,10.5,0.04
1/27/2013,25.7,35.1,18,11.8,0
1/28/2013,32.4,36,21,6.7,0
1/29/2013,39,46,29.1,7.0,0.22
1/30/2013,43.6,54,37,7.5,0.09
1/31/2013,49.9,60.1,36,20.0,0.89
2/1/2013,30.8,36,28,16.0,0.02
2/2/2013,25.3,32,19.9,10.9,0
2/3/2013,27,30.9,19.9,5.5,0.04
2/4/2013,28.3,30.9,24.1,13.9,0.03
2/5/2013,29.4,32,25,7.4,0.01
2/6/2013,33.4,39.9,28,8.4,0.01
2/7/2013,30.1,39.9,26.1,8.5,0
2/8/2013,33,36,27,14.6,0
2/9/2013,30,36,27,16.4,0.89
2/10/2013,26.4,36,19.9,8.0,0.22
2/11/2013,37.9,45,19.9,3.6,0.07
2/12/2013,42.6,46,34,11.8,0.45
2/13/2013,38.8,45,34,5.9,0
2/14/2013,38.7,46,33.8,7.2,0.02
2/15/2013,42.6,53.1,34,7.4,0
2/16/2013,38.3,53.1,34,8.4,0.02
2/17/2013,30.1,42.1,25,18.8,0
2/18/2013,24.5,36,19,18.7,0
2/19/2013,38.2,46.9,19,8.1,0
2/20/2013,35.6,46.9,30,16.3,0.16
2/21/2013,29.1,35.1,25,18.0,0
2/22/2013,29.9,39,25,9.3,0
2/23/2013,36.8,39.9,27.1,8.0,0
2/24/2013,39.1,46,35.1,11.4,0.3
2/25/2013,37.7,46,33.1,9.7,0.03
2/26/2013,39,44.1,33.1,7.4,0
2/27/2013,39.9,48.2,36,15.4,0.95
2/28/2013,45.5,53.1,37,6.3,0.28
3/1/2013,40.8,53.1,37,10.2,0
3/2/2013,37.2,44.1,34,11.6,0
3/3/2013,33.3,39.9,30,11.6,0
3/4/2013,33.5,41,28.9,16.3,0
3/5/2013,37.9,48,29.1,11.2,0
3/6/2013,40.8,48,33.1,16.0,0
3/7/2013,37.1,43,34,16.8,0.01
3/8/2013,34.4,42.1,32,13.4,0.21
3/9/2013,43.2,54,32,13.1,0.16
3/10/2013,41.2,54,34,5.5,0
3/11/2013,44.5,54,34,7.4,0
3/12/2013,50.4,55.9,39.9,13.7,0.07
3/13/2013,45.4,55.9,41,11.5,0.72
3/14/2013,36.8,52,30,17.3,0
3/15/2013,37,48,30.9,13.7,0
3/16/2013,38.3,48,31.1,8.0,0
3/17/2013,34.1,41,30,10.4,0.08
3/18/2013,33,37.9,28.9,9.9,0
3/19/2013,36.5,44.1,28.9,11.8,0.72
3/20/2013,39.5,45,34,12.5,0.16
3/21/2013,36.4,45,32,8.0,0
3/22/2013,34.9,41,30,13.0,0
3/23/2013,39.3,45,30.2,13.3,0
3/24/2013,39.6,46,34,10.1,0
3/25/2013,39.2,46,34,10.2,0
3/26/2013,42.4,50,37,6.7,0.16
3/27/2013,44.3,52,37.9,10.4,0
3/28/2013,43.8,52,37.9,12.4,0
3/29/2013,47,55,39,10.1,0
3/30/2013,48.1,57.9,41,8.2,0
3/31/2013,47.6,57.9,39.9,7.4,0
4/1/2013,49.9,62.1,43,10.1,0.14
4/2/2013,39.3,46.9,34,14.9,0.01
4/3/2013,39.8,46.9,34,14.7,0
4/4/2013,40.6,50,34,10.3,0
4/5/2013,48.4,61,35.1,8.2,0
4/6/2013,43.9,61,37,12.0,0
4/7/2013,46.2,54,37,12.4,0
4/8/2013,55.9,72,39.9,5.5,0
4/9/2013,63.2,81,46.9,7.6,0.01
4/10/2013,62.8,81,46.9,6.8,0.14
4/11/2013,56.4,71.1,48.9,7.3,0.41
4/12/2013,45.1,60.1,42.1,14.9,0.01
4/13/2013,46.6,57,41,7.4,0.57
4/14/2013,51.8,57,42.1,8.5,0.01
4/15/2013,49.3,55.9,44.1,7.1,0
4/16/2013,53.1,62.1,44.1,10.1,0
4/17/2013,61,69.1,46.9,7.2,0.02
4/18/2013,56.4,69.1,48.9,8.2,0.01
4/19/2013,59.2,70,48.9,10.4,0
4/20/2013,56.4,70,51.1,13.0,0.08
4/21/2013,46.5,60.1,39,10.3,0.06
4/22/2013,47.5,55,39,10.3,0
4/23/2013,45.9,55,42.1,12.8,0
4/24/2013,52.8,64.9,42.1,9.1,0
4/25/2013,55.6,66.9,45,11.3,0
4/26/2013,57.6,66.9,46.9,6.3,0
4/27/2013,57.6,68,48,5.6,0
4/28/2013,58.5,69.1,48,7.3,0
4/29/2013,55.7,69.1,51.1,8.5,0
4/30/2013,56.6,66,51.1,8.2,0.03
5/1/2013,56.7,66,48,7.2,0
5/2/2013,58.1,68,48,4.7,0
5/3/2013,57,68,50,9.5,0
5/4/2013,55.2,66.9,50,7.3,0
5/5/2013,52.1,60.1,46.4,9.3,0
5/6/2013,54.4,68,46.9,7.0,0
5/7/2013,59.3,71.1,46.9,6.7,0
5/8/2013,60.1,71.1,53.1,9.2,0.98
5/9/2013,58.2,68,55,6.0,1.36
5/10/2013,67.7,80.1,55,5.3,0.32
5/11/2013,64.6,80.1,61,7.9,0.15
5/12/2013,64.3,70,59,11.0,0.5
5/13/2013,53.4,70,48,12.9,0.01
5/14/2013,52.1,62.1,45,10.8,0
5/15/2013,58.9,68,45,8.7,0
5/16/2013,69.8,80.1,54,6.7,0.02
5/17/2013,66.9,80.1,61,7.2,0
5/18/2013,62.2,73.9,55.9,5.3,0
5/19/2013,58.3,61,55.4,8.4,0
5/20/2013,64.9,79,55.9,5.1,0.39
5/21/2013,75.4,86,57,7.3,0
5/22/2013,69.6,82.9,57.2,7.4,0
5/23/2013,70.4,81,57.9,8.0,0
5/24/2013,60.8,81,48.9,9.2,0.58
5/25/2013,49.7,66.9,46,16.9,0.22
5/26/2013,56.2,66.9,46,17.5,0.02
5/27/2013,64.2,77,48.9,6.9,0
5/28/2013,63.9,77,55.9,6.0,0
5/29/2013,65.8,82.9,57,5.1,0.41
5/30/2013,82.5,93,73.9,7.4,0
5/31/2013,84.8,93,73.9,6.1,0
6/1/2013,82.6,93,75,9.1,0
6/2/2013,79.6,89.1,70,10.1,0
6/3/2013,74.2,84,69.8,7.6,0.14
6/4/2013,67.6,78.1,59,9.4,0.93
6/5/2013,67.1,75.9,59,7.2,0
6/6/2013,65.4,73.9,59,7.3,0
6/7/2013,62.3,73,59,10.6,0.66
6/8/2013,66.1,77,57.2,11.5,3.56
6/9/2013,72.9,82,57.9,4.5,0.79
6/10/2013,67.7,82,64,7.3,0
6/11/2013,70.8,82,62.1,10.3,1.37
6/12/2013,71.6,82,63,14.2,0.02
6/13/2013,68.4,75.9,63,8.3,0
6/14/2013,61.6,75,55,12.4,1.13
6/15/2013,71.2,82,55,8.0,0.25
6/16/2013,75.4,86,64,6.5,0
6/17/2013,77.8,87.1,68,8.4,0
6/18/2013,73.1,87.1,66,6.3,0
6/19/2013,68.6,82,61,8.5,0.2
6/20/2013,71.4,80.1,61,8.2,0
6/21/2013,73,82,64.9,8.4,0
6/22/2013,73.7,84,66,8.7,0
6/23/2013,77.1,87.1,66.9,9.6,0
6/24/2013,82.3,96.1,71.1,7.7,0
6/25/2013,83.1,96.1,75,7.0,0
6/26/2013,82.9,95,75,8.8,0.01
6/27/2013,78.3,89.1,73,5.9,0.01
6/28/2013,78.8,89.1,73,10.4,0.13
6/29/2013,77.8,89.1,72,9.5,0
6/30/2013,77.7,87.1,72,7.2,0
7/1/2013,74.8,78.1,73.4,7.8,0
7/2/2013,76.1,82.9,73,8.0,0.73
7/3/2013,78.5,84.9,73.9,8.8,0.06
7/4/2013,82,91,73.9,8.6,0.96
7/5/2013,84.4,93,75.9,9.0,0
7/6/2013,87,95,77,9.3,0
7/7/2013,88.8,98.1,79,8.8,0
7/8/2013,83.7,98.1,75,8.9,0
7/9/2013,82.6,91,75,6.0,0
7/10/2013,82,91,75,8.7,0.08
7/11/2013,82.3,91,75,7.6,0.02
7/12/2013,75.4,86,72,9.1,0
7/13/2013,71.4,78.1,68,10.5,0.23
7/14/2013,80.2,93.9,69.1,6.0,0.01
7/15/2013,87.2,93.9,72,7.8,0
7/16/2013,86.5,93.9,79,7.9,0
7/17/2013,87.4,97,78.1,4.0,0
7/18/2013,89.3,100,78.1,6.3,0
7/19/2013,92.5,100,82.9,8.9,0
7/20/2013,89.2,100,82.9,11.3,0
7/21/2013,82.2,95,77,7.6,0
7/22/2013,77.1,87.1,75,8.3,0
7/23/2013,80,91,75,7.4,0.58
7/24/2013,79.9,91,75,7.8,0.31
7/25/2013,68,82.9,64,11.7,0
7/26/2013,71.5,84,64,8.6,0.02
7/27/2013,76.9,84,64.9,8.5,0
7/28/2013,74.8,84,71.1,7.6,0
7/29/2013,77.3,89.1,71.1,5.7,0.13
7/30/2013,75.9,89.1,70,8.7,0
7/31/2013,76.1,82,70,6.2,0
8/1/2013,73.5,82,69.1,7.6,0
8/2/2013,75.5,86,69.1,7.3,0.5
8/3/2013,76.4,86,70,8.1,0
8/4/2013,74.6,81,70,8.7,0.01
8/5/2013,71.5,81,64,9.4,0
8/6/2013,73.9,82,64,6.3,0
8/7/2013,74.4,82,66.9,9.5,0
8/8/2013,75,82,71.1,9.1,0.16
8/9/2013,78.2,89.1,71.1,9.2,0.08
8/10/2013,78.3,89.1,72,8.9,0.04
8/11/2013,74.8,84,66.9,5.7,0
8/12/2013,74.8,82,66.9,5.5,0.09
8/13/2013,74,82,70,5.3,0.01
8/14/2013,69.5,78.1,62.1,12.4,0.73
8/15/2013,69.8,78.1,62.1,8.2,0
8/16/2013,72.6,81,63,3.7,0
8/17/2013,73.6,81,66.9,5.2,0
8/18/2013,72.5,81,68,5.2,0
8/19/2013,73.5,80.1,68,5.5,0
8/20/2013,77.5,89.1,68,4.5,0
8/21/2013,81.1,90,70,4.5,0
8/22/2013,77.5,90,73,5.8,0
8/23/2013,76.2,81,72,9.0,0.24
8/24/2013,71.5,81,64,8.9,0
8/25/2013,73.8,82.9,64,4.8,0
8/26/2013,75.3,84,66.9,9.1,0
8/27/2013,78.3,86,70,10.6,0.01
8/28/2013,78,86,73,3.2,0.1
8/29/2013,74.6,84.9,71.1,7.3,0
8/30/2013,75.4,86,69.1,7.4,0
8/31/2013,78.5,86,69.1,8.8,0
9/1/2013,79.6,86,73,8.0,0
9/2/2013,76.9,80.6,71.6,4.8,0
9/3/2013,76.2,82,72,6.7,0.99
9/4/2013,73.3,82,66,10.4,0.09
9/5/2013,74.3,82,66,9.3,0
9/6/2013,64.8,77,57,7.5,0
9/7/2013,68.3,79,57,6.5,0
9/8/2013,73.9,80.1,61,8.7,0
9/9/2013,65.9,80.1,57.9,7.7,0
9/10/2013,74.8,88,57.9,8.8,0
9/11/2013,83.6,93.9,69.1,7.5,0
9/12/2013,80.6,88,71.1,8.4,0
9/13/2013,71.3,86,68,9.4,1.3
9/14/2013,61.6,77,55.9,10.8,0.03
9/15/2013,61.5,73,54,6.9,0
9/16/2013,65.8,73,54,6.9,0
9/17/2013,58.2,72,48.9,10.1,0.02
9/18/2013,61.8,71.1,48.9,5.0,0
9/19/2013,65,77,55,5.4,0
9/20/2013,68.1,78.1,57,5.8,0
9/21/2013,67.4,78.1,61,9.4,0
9/22/2013,66.3,75.9,61,12.9,0.98
9/23/2013,58.5,68,52,10.6,0.53
9/24/2013,59.1,73,50,8.0,0
9/25/2013,64.1,73,50,5.4,0
9/26/2013,63.9,72,55,6.2,0
9/27/2013,61.5,69.1,57,6.4,0
9/28/2013,64.4,73,57,7.3,0
9/29/2013,64.6,73,57.9,4.9,0
9/30/2013,63.9,73,57.9,4.1,0
10/1/2013,68.9,81,57.9,5.5,0
10/2/2013,73.9,84,62.1,6.0,0
10/3/2013,72.6,84,64.9,4.3,0
10/4/2013,74,86,64.9,4.9,0
10/5/2013,68.3,86,64,6.7,0.03
10/6/2013,66.5,73,64,7.6,0.01
10/7/2013,70.7,77,64,11.8,0.33
10/8/2013,61.6,77,55.9,10.2,0
10/9/2013,59.7,66,54,12.3,0
10/10/2013,59.1,66,54,13.2,0
10/11/2013,63.7,69.1,54,16.4,0
10/12/2013,65.7,72,60.1,15.5,0
10/13/2013,60.9,72,57,15.0,0
10/14/2013,58,64.9,53.1,6.6,0
10/15/2013,60.4,70,53.1,4.7,0
10/16/2013,60.1,70,55.9,5.6,0
10/17/2013,64.7,73,57,6.7,0
10/18/2013,64.2,73,57.9,11.5,0.01
10/19/2013,59.4,69.1,54,5.9,0
10/20/2013,58.4,64,51.1,10.4,0
